tid,org_timesheet_id,payroll_id,date,shift_start,shift_end,shift_length
1,ab2799d480234937fb300eb88f44b3e0,263151,2021-06-01,12:00,17:00,5.0
2,3f783155441f5c88ea99adaa454594db,401677,2021-06-01,12:00,17:00,5.0
3,c1cd92a0a2a4065a8c059dede11941b4,551610,2021-06-01,08:00,16:00,8.0
4,df55207e0ff4d1efd96da3edb540bde2,875242,2021-06-01,12:00,17:00,5.0
5,c5edced40fdaa0f29c340f2b560d39d8,531034,2021-06-01,09:00,17:00,8.0
6,a2eb02fb5afaa663da41cecf04bf5497,884677,2021-06-01,12:30,18:00,5.5
7,e2b0a1f860d681282d130269be813857,724567,2021-06-01,12:00,17:00,5.0
8,41af3356ca5a42ff94be67b3cc662a32,255320,2021-06-01,09:00,13:00,4.0
9,b990e475fc26c9d5023c02c20966635e,286230,2021-06-01,09:00,17:00,8.0
10,129897be3e2f9c18faca495e460d09dd,720541,2021-06-01,12:00,17:00,5.0
11,69cc606dd8c1fc7eee8a04f0491e3922,787556,2021-06-01,08:00,16:00,8.0
12,76e96da8fd5985fcdf4e7210446d4dad,188528,2021-06-01,12:00,17:00,5.0
13,37afd32db583a9adfb9eafff4757777f,241956,2021-06-01,09:00,17:00,8.0
14,26994fc3abc13f6b1d703d13dba663d3,537904,2021-06-01,09:00,17:00,8.0
15,ed92b16ac58530c259a0d5cb4c649069,520458,2021-06-01,12:00,17:00,5.0
16,d96dd00a1d16074a8569bb9b373c3535,849396,2021-06-01,09:00,13:00,4.0
17,ed02fb37d6fd047001c8482e1f5b6ca5,273059,2021-06-01,09:30,16:30,7.0
18,6bf43e0a80796eb550fe31e08eb3e947,607031,2021-06-01,09:00,17:00,8.0
19,534c55384ef98a48da3848583f04f8cd,429932,2021-06-01,08:00,16:00,8.0
20,9d1e7aafc84dc829dec4d1f609a9b9d9,279842,2021-06-01,08:00,16:00,8.0
21,c45234817e10821a389d07cb8a21b8be,649406,2021-06-01,09:00,17:00,8.0
22,63a164fbcf16af325c1f936d28994943,803735,2021-06-01,09:30,16:30,7.0
23,18425122bfdc541aea254e7f98f07d13,700319,2021-06-01,09:00,13:00,4.0
24,49af2f6a4efdc1bb7b2cc22e4c121bff,146589,2021-06-01,08:00,16:00,8.0
25,1c6c49ebfea61a7989130374005069ee,490514,2021-06-01,12:00,17:00,5.0
26,28f5ac77c3dcf30a2480beb21feedae3,313193,2021-06-01,08:00,16:00,8.0
27,46401ea1f036d3c307bfb5840b4c219b,709160,2021-06-02,12:30,18:00,5.5
28,90c4aa31a59f45a1c9dc69448c8985d9,208798,2021-06-02,09:30,16:30,7.0
29,3435d424558e0b87286c8c346c6ae258,263151,2021-06-02,12:30,18:00,5.5
30,e82f8a5fee1c050aebe313c01e8c5589,401677,2021-06-02,12:00,17:00,5.0
31,6d004f29609b619ad25614b922693db8,551610,2021-06-02,08:00,16:00,8.0
32,3c34cee5c86032164e00618f48b90506,875242,2021-06-02,12:00,17:00,5.0
33,30356b833fedfc90d877c744f8ecd744,531034,2021-06-02,09:00,17:00,8.0
34,417a04b2b9a80c9cceb7ab571bb0fd50,884677,2021-06-02,12:30,18:00,5.5
35,220e3ec9c4f30e8ac0963d840490354e,724567,2021-06-02,12:00,17:00,5.0
36,0cd7888ab485ab3ac08a0fe54ed2b2b1,255320,2021-06-02,09:00,13:00,4.0
37,75f98d9191cce8b9726190d3f06f516a,286230,2021-06-02,09:00,17:00,8.0
38,a43e9628a5c4baf850c17361ddcd0209,720541,2021-06-02,12:00,17:00,5.0
39,0a874d13d984f266f05ee98f3a213367,787556,2021-06-02,08:00,16:00,8.0
40,0b1c33745673bf21c46c50c75b3c9a92,188528,2021-06-02,12:00,17:00,5.0
41,833f751afa7a992e815e92fd7ce0ba14,241956,2021-06-02,09:00,17:00,8.0
42,53f79c6862c440dde09d54b5fda381d3,537904,2021-06-03,09:00,17:00,8.0
43,3fb59b4071b95fdfe86aad2b6897b901,520458,2021-06-03,12:00,17:00,5.0
44,af9b1ab60d27b6b13fbb59a1ecbf41fe,849396,2021-06-03,09:00,13:00,4.0
45,4ba8ee2e01e6576922840910b2b8a27a,273059,2021-06-03,09:30,16:30,7.0
46,6bd045736fb1cf035571776aa903589c,607031,2021-06-03,09:00,17:00,8.0
47,757d7e3104bd20604b44e7e6116cbc6d,429932,2021-06-03,08:00,16:00,8.0
48,b01357407ec1c5ab9670f9c64931450a,279842,2021-06-03,08:00,16:00,8.0
49,a6c14086874f8d39b681c41ebb8a52c0,649406,2021-06-03,09:00,17:00,8.0
50,080d0c5498dbd24e3ce4f8c506624572,803735,2021-06-03,09:30,16:30,7.0
51,bac2dea0fb0bfc9ef13ad6dfd93b8583,700319,2021-06-03,09:00,13:00,4.0
52,95a0846542c103f0452de469f874c148,146589,2021-06-03,08:00,16:00,8.0
53,2cfa33224d7767fbcd5c9c6bf8371be4,490514,2021-06-03,12:00,17:00,5.0
54,fadff89da16d2550cac01fa4ff2a486b,313193,2021-06-03,08:00,16:00,8.0
55,3e815e60f569b90048e27b6f35424916,709160,2021-06-04,12:30,18:00,5.5
56,8ab23cc0d3ba04c3e5bd50adb70a4752,208798,2021-06-04,09:30,16:30,7.0
57,1e38020b7dc85ca50599b70ebb8de890,263151,2021-06-04,12:30,18:00,5.5
58,51e752c081359237a343dba2a4d763ce,401677,2021-06-04,12:00,17:00,5.0
59,cfb9352a34111226791493d18d9667b2,551610,2021-06-04,08:00,16:00,8.0
60,3744bbb7feb63b4e06304e78b270f2c2,875242,2021-06-04,12:00,17:00,5.0
61,83b7448b213730eafd3d196a657a64e2,531034,2021-06-04,09:00,17:00,8.0
62,1ac1049432b4a971c71b266c383cefff,884677,2021-06-04,12:30,18:00,5.5
63,04eae55521d9832485350682c4944bb0,724567,2021-06-04,12:00,17:00,5.0
64,da72e712fb9c935358e697e8e677889f,255320,2021-06-04,09:00,13:00,4.0
65,acf7768a96e2d0ddbed7689c9f922cec,286230,2021-06-04,09:00,17:00,8.0
66,8736acf74103eb77a6b3de7dc1c03a7e,720541,2021-06-04,12:00,17:00,5.0
67,8f787b5d71f45033f3cd8661be31da6a,787556,2021-06-04,08:00,16:00,8.0
68,12845cca58b72cf76a1f39eb0915ebb4,188528,2021-06-04,12:00,17:00,5.0
69,1b14fa222617613ea205601e81753e34,241956,2021-06-04,09:00,17:00,8.0
